tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2002-1536,Madrid Masters,Hard,48,M,10/14/2002,1,102148,,Q,Fabrice Santoro,R,178,FRA,29.8,102369,,Q,Julien Boutter,R,190,FRA,28.5,6-3 7-6(4),3,R64,91,1,2,63,38,29,17,11,0,1,8,7,70,38,32,13,10,5,7,50,725,51,715
2002-1536,Madrid Masters,Hard,48,M,10/14/2002,2,103900,,,David Nalbandian,R,180,ARG,20.7,101532,,WC,Francisco Clavet,L,183,ESP,33.9,6-1 6-1,3,R64,55,7,2,52,31,23,13,7,4,4,1,0,43,34,15,3,7,1,6,18,1523,106,375
2002-1536,Madrid Masters,Hard,48,M,10/14/2002,3,102701,,,Marcelo Rios,L,175,CHI,26.8,103292,,,Gaston Gaudio,R,175,ARG,23.8,6-2 6-2,3,R64,58,12,2,57,39,31,8,8,7,7,2,1,47,33,18,7,8,2,6,25,1240,22,1408
2002-1536,Madrid Masters,Hard,48,M,10/14/2002,4,102839,,,Nicolas Lapentti,R,188,ECU,26.1,103356,,,Michel Kratochvil,R,185,SUI,23.5,7-6(5) 6-1,3,R64,106,6,2,73,41,28,15,9,8,11,3,7,76,37,26,13,10,7,13,30,1130,64,635
2002-1536,Madrid Masters,Hard,48,M,10/14/2002,5,103387,,,Paradorn Srichaphan,R,185,THA,23.3,102856,,WC,Gustavo Kuerten,R,190,BRA,26,6-4 6-4,3,R64,76,3,4,58,32,28,14,10,0,0,5,1,73,45,30,14,10,2,4,28,1190,35,1005
2002-1536,Madrid Masters,Hard,48,M,10/14/2002,6,103344,,,Ivan Ljubicic,R,193,CRO,23.5,102456,,,Felix Mantilla,R,180,ESP,28,6-3 6-4,3,R64,69,10,0,48,21,17,19,9,1,2,1,3,55,31,23,9,10,1,5,54,700,58,660
2002-1536,Madrid Masters,Hard,48,M,10/14/2002,7,103990,,,Tommy Robredo,R,180,ESP,20.4,103018,,,Max Mirnyi,R,196,BLR,25.2,6-4 6-4,3,R64,79,1,1,62,43,30,12,10,1,2,4,8,69,38,28,13,10,10,13,38,925,27,1200
2002-1536,Madrid Masters,Hard,48,M,10/14/2002,8,103602,,,Fernando Gonzalez,R,183,CHI,22.2,102987,,Q,Andre Sa,R,185,BRA,25.4,6-3 6-2,3,R64,66,12,3,55,33,28,13,9,1,1,0,4,55,30,21,9,8,3,6,20,1493,65,629
2002-1536,Madrid Masters,Hard,48,M,10/14/2002,9,103598,,,Xavier Malisse,R,185,BEL,22.2,102905,,,Stefan Koubek,L,175,AUT,25.7,6-2 6-4,3,R64,73,5,5,68,35,26,17,9,5,7,0,5,60,24,15,14,9,0,5,24,1255,45,765
2002-1536,Madrid Masters,Hard,48,M,10/14/2002,10,104022,,,Mikhail Youzhny,R,183,RUS,20.3,103428,,,Juan Ignacio Chela,R,190,ARG,23.1,6-2 6-2,3,R64,67,0,1,50,27,19,18,8,2,2,2,5,61,26,17,14,8,6,10,44,773,23,1347
2002-1536,Madrid Masters,Hard,48,M,10/14/2002,11,102796,,,Magnus Norman,R,188,SWE,26.3,103151,,,Mariano Zabaleta,R,183,ARG,24.6,6-7(2) 7-6(4) 6-2,3,R64,155,12,1,105,67,49,26,16,5,7,10,7,98,57,46,19,16,1,5,120,343,53,704
2002-1536,Madrid Masters,Hard,48,M,10/14/2002,12,102860,,Q,Agustin Calleri,R,183,ARG,26,103484,,,James Blake,R,185,USA,22.7,6-4 6-2,3,R64,74,6,1,59,32,25,15,9,4,5,1,3,53,25,14,13,9,6,10,52,709,26,1220
2002-1536,Madrid Masters,Hard,48,M,10/14/2002,13,103813,,,Jarkko Nieminen,L,185,FIN,21.2,102783,,,Rainer Schuettler,R,180,GER,26.4,1-6 6-4 7-6(5),3,R64,130,1,5,95,48,33,21,14,1,6,4,10,114,63,46,22,15,10,14,37,951,31,1130
2002-1536,Madrid Masters,Hard,48,M,10/14/2002,14,102374,,,Alex Corretja,R,180,ESP,28.5,102950,,Q,Fernando Vicente,R,180,ESP,25.6,6-4 7-5,3,R64,107,9,3,70,34,26,19,11,8,10,8,4,81,45,27,18,11,7,11,21,1490,57,666
2002-1536,Madrid Masters,Hard,48,M,10/14/2002,15,103852,,WC,Feliciano Lopez,L,188,ESP,21,103096,,,Arnaud Clement,R,173,FRA,24.8,7-6(5) 3-6 6-4,3,R64,118,17,7,93,54,46,16,16,3,6,7,5,88,47,35,25,15,4,6,71,556,40,860
2002-1536,Madrid Masters,Hard,48,M,10/14/2002,16,102998,,Q,Jan Michael Gambill,R,190,USA,25.3,102318,,,Andrei Pavel,R,183,ROU,28.7,7-6(3) 6-3,3,R64,100,12,0,74,34,27,22,10,4,5,6,2,73,47,31,10,11,6,9,42,775,29,1165
2002-1536,Madrid Masters,Hard,48,M,10/14/2002,17,102148,,Q,Fabrice Santoro,R,178,FRA,29.8,103163,1,,Tommy Haas,R,188,GER,24.5,7-6(7) 4-1 RET,3,R32,71,8,2,52,26,24,17,8,4,4,8,4,62,36,25,13,9,1,3,50,725,3,2665
2002-1536,Madrid Masters,Hard,48,M,10/14/2002,18,103900,,,David Nalbandian,R,180,ARG,20.7,103084,13,,Guillermo Canas,R,185,ARG,24.8,4-6 6-3 6-3,3,R32,116,3,2,83,50,36,22,14,3,4,7,4,86,41,33,20,14,1,4,18,1523,16,1750
2002-1536,Madrid Masters,Hard,48,M,10/14/2002,19,103819,12,,Roger Federer,R,185,SUI,21.1,102701,,,Marcelo Rios,L,175,CHI,26.8,6-4 6-2,3,R32,65,5,3,53,28,21,14,9,2,4,4,1,69,41,24,9,9,3,8,7,2115,25,1240
2002-1536,Madrid Masters,Hard,48,M,10/14/2002,20,102839,,,Nicolas Lapentti,R,188,ECU,26.1,104076,,LL,Jose Acasuso,R,190,ARG,19.9,6-3 6-2,3,R32,60,7,3,45,29,23,11,9,0,1,2,8,49,23,13,12,8,4,8,30,1130,39,870
2002-1536,Madrid Masters,Hard,48,M,10/14/2002,21,103387,,,Paradorn Srichaphan,R,185,THA,23.3,102450,4,,Tim Henman,R,185,GBR,28.1,3-6 6-3 6-3,3,R32,117,5,3,80,43,31,19,13,10,13,3,1,94,61,42,12,14,5,10,28,1190,5,2455
2002-1536,Madrid Masters,Hard,48,M,10/14/2002,22,103344,,,Ivan Ljubicic,R,193,CRO,23.5,102854,14,,Sjeng Schalken,R,193,NED,26,7-6(9) 6-4,3,R32,115,15,0,78,43,35,22,11,2,3,4,3,74,47,36,13,11,2,4,54,700,15,1790
2002-1536,Madrid Masters,Hard,48,M,10/14/2002,23,102562,11,,Jiri Novak,R,190,CZE,27.5,103990,,,Tommy Robredo,R,180,ESP,20.4,6-1 6-1,3,R32,62,2,2,53,34,24,11,7,2,2,2,1,51,28,13,10,7,1,6,9,2080,38,925
2002-1536,Madrid Masters,Hard,48,M,10/14/2002,24,102845,8,,Carlos Moya,R,190,ESP,26.1,103602,,,Fernando Gonzalez,R,183,CHI,22.2,2-6 7-6(4) 7-6(4),3,R32,161,7,5,110,66,48,24,16,4,7,13,12,142,80,59,32,16,10,11,11,2040,20,1493
2002-1536,Madrid Masters,Hard,48,M,10/14/2002,25,103206,7,,Sebastien Grosjean,R,175,FRA,24.3,103598,,,Xavier Malisse,R,185,BEL,22.2,5-1 RET,3,R32,20,0,0,15,7,6,6,3,0,0,1,0,18,14,7,1,3,1,3,8,2090,24,1255
2002-1536,Madrid Masters,Hard,48,M,10/14/2002,26,104022,,,Mikhail Youzhny,R,183,RUS,20.3,104053,10,,Andy Roddick,R,188,USA,20.1,6-3 6-4,3,R32,68,2,1,64,43,36,10,10,1,1,6,2,54,36,28,7,9,4,6,44,773,13,1995
2002-1536,Madrid Masters,Hard,48,M,10/14/2002,27,102563,15,,Thomas Johansson,R,180,SWE,27.5,102796,,,Magnus Norman,R,188,SWE,26.3,2-6 6-3 6-4,3,R32,115,14,3,80,38,33,18,14,1,4,13,2,76,42,32,18,13,9,12,17,1740,120,343
2002-1536,Madrid Masters,Hard,48,M,10/14/2002,28,102860,,Q,Agustin Calleri,R,183,ARG,26,103498,3,,Marat Safin,R,193,RUS,22.7,7-6(6) 7-6(5),3,R32,127,8,5,95,55,45,15,12,1,3,6,2,83,40,30,22,12,2,4,52,709,4,2620
2002-1536,Madrid Masters,Hard,48,M,10/14/2002,29,103507,5,,Juan Carlos Ferrero,R,183,ESP,22.6,103813,,,Jarkko Nieminen,L,185,FIN,21.2,6-3 6-7(6) 7-5,3,R32,161,11,6,146,91,59,30,17,18,20,0,3,109,60,40,27,16,6,10,6,2405,37,951
2002-1536,Madrid Masters,Hard,48,M,10/14/2002,30,102374,,,Alex Corretja,R,180,ESP,28.5,102338,9,,Yevgeny Kafelnikov,R,190,RUS,28.6,3-6 6-3 6-4,3,R32,106,12,5,83,43,32,21,14,4,7,11,6,74,39,29,18,14,3,7,21,1490,12,2025
2002-1536,Madrid Masters,Hard,48,M,10/14/2002,31,103852,,WC,Feliciano Lopez,L,188,ESP,21,101962,16,,Younes El Aynaoui,R,193,MAR,31,6-7(6) 6-4 6-2,3,R32,142,8,5,119,67,53,26,15,8,8,15,3,107,73,52,17,15,10,13,71,556,19,1500
2002-1536,Madrid Masters,Hard,48,M,10/14/2002,32,101736,2,,Andre Agassi,R,180,USA,32.4,102998,,Q,Jan Michael Gambill,R,190,USA,25.3,6-4 6-4,3,R32,85,6,0,57,40,28,15,10,1,1,13,2,68,37,30,10,10,5,7,2,2875,42,775
2002-1536,Madrid Masters,Hard,48,M,10/14/2002,33,102148,,Q,Fabrice Santoro,R,178,FRA,29.8,103900,,,David Nalbandian,R,180,ARG,20.7,6-0 6-2,3,R16,63,2,1,38,17,15,14,7,0,0,3,0,52,31,14,9,7,4,9,50,725,18,1523
2002-1536,Madrid Masters,Hard,48,M,10/14/2002,34,103819,12,,Roger Federer,R,185,SUI,21.1,102839,,,Nicolas Lapentti,R,188,ECU,26.1,6-3 6-4,3,R16,81,4,0,60,41,32,13,10,2,2,3,1,66,37,26,13,9,7,9,7,2115,30,1130
2002-1536,Madrid Masters,Hard,48,M,10/14/2002,35,103387,,,Paradorn Srichaphan,R,185,THA,23.3,103344,,,Ivan Ljubicic,R,193,CRO,23.5,6-4 6-2,3,R16,78,6,2,52,27,25,14,9,2,2,11,5,68,37,26,12,9,7,10,28,1190,54,700
2002-1536,Madrid Masters,Hard,48,M,10/14/2002,36,102562,11,,Jiri Novak,R,190,CZE,27.5,102845,8,,Carlos Moya,R,190,ESP,26.1,6-7(2) 6-4 7-5,3,R16,137,2,5,118,85,61,15,17,3,6,8,2,102,61,45,15,17,3,8,9,2080,11,2040
2002-1536,Madrid Masters,Hard,48,M,10/14/2002,37,103206,7,,Sebastien Grosjean,R,175,FRA,24.3,104022,,,Mikhail Youzhny,R,183,RUS,20.3,7-6(2) 6-1,3,R16,72,1,0,50,27,22,15,9,0,1,1,1,62,35,22,12,10,4,8,8,2090,44,773
2002-1536,Madrid Masters,Hard,48,M,10/14/2002,38,102860,,Q,Agustin Calleri,R,183,ARG,26,102563,15,,Thomas Johansson,R,180,SWE,27.5,6-4 6-4,3,R16,76,8,3,53,30,27,14,10,3,3,12,5,63,28,23,17,10,1,3,52,709,17,1740
2002-1536,Madrid Masters,Hard,48,M,10/14/2002,39,103507,5,,Juan Carlos Ferrero,R,183,ESP,22.6,102374,,,Alex Corretja,R,180,ESP,28.5,3-6 6-0 6-1,3,R16,106,3,2,65,32,22,20,11,2,4,3,4,75,32,19,17,11,6,12,6,2405,21,1490
2002-1536,Madrid Masters,Hard,48,M,10/14/2002,40,101736,2,,Andre Agassi,R,180,USA,32.4,103852,,WC,Feliciano Lopez,L,188,ESP,21,7-6(6) 6-7(8) 7-5,3,R16,143,7,5,113,70,55,30,18,0,0,19,6,118,64,55,28,18,0,1,2,2875,71,556
2002-1536,Madrid Masters,Hard,48,M,10/14/2002,41,102148,,Q,Fabrice Santoro,R,178,FRA,29.8,103819,12,,Roger Federer,R,185,SUI,21.1,7-5 6-3,3,QF,78,1,2,71,44,32,14,11,5,6,4,1,60,44,31,6,10,3,6,50,725,7,2115
2002-1536,Madrid Masters,Hard,48,M,10/14/2002,42,102562,11,,Jiri Novak,R,190,CZE,27.5,103387,,,Paradorn Srichaphan,R,185,THA,23.3,4-6 6-3 6-4,3,QF,88,4,0,71,47,38,20,15,0,1,10,2,75,38,35,20,14,2,4,9,2080,28,1190
2002-1536,Madrid Masters,Hard,48,M,10/14/2002,43,103206,7,,Sebastien Grosjean,R,175,FRA,24.3,102860,,Q,Agustin Calleri,R,183,ARG,26,6-3 7-6(4),3,QF,94,6,3,68,39,32,14,11,0,1,5,1,62,36,29,12,10,2,4,8,2090,52,709
2002-1536,Madrid Masters,Hard,48,M,10/14/2002,44,101736,2,,Andre Agassi,R,180,USA,32.4,103507,5,,Juan Carlos Ferrero,R,183,ESP,22.6,6-3 6-2,3,QF,74,5,1,55,38,32,6,9,0,1,2,1,57,27,14,14,8,3,7,2,2875,6,2405
2002-1536,Madrid Masters,Hard,48,M,10/14/2002,45,102562,11,,Jiri Novak,R,190,CZE,27.5,102148,,Q,Fabrice Santoro,R,178,FRA,29.8,6-2 6-4,3,SF,67,2,1,50,30,21,13,9,0,1,3,2,56,34,20,8,9,4,8,9,2080,50,725
2002-1536,Madrid Masters,Hard,48,M,10/14/2002,46,101736,2,,Andre Agassi,R,180,USA,32.4,103206,7,,Sebastien Grosjean,R,175,FRA,24.3,6-4 3-6 6-4,3,SF,100,4,2,69,51,40,13,14,0,2,19,0,89,56,44,13,15,3,6,2,2875,8,2090
2002-1536,Madrid Masters,Hard,48,M,10/14/2002,47,101736,2,,Andre Agassi,R,180,USA,32.4,102562,11,,Jiri Novak,R,190,CZE,27.5,W/O,3,F,,,,,,,,,,,,,,,,,,,,2,2875,9,2080
2002-301,Auckland,Hard,32,A,1/7/2002,1,103498,1,,Marat Safin,R,193,RUS,21.9,102021,,WC,Michael Chang,R,175,USA,29.8,2-6 6-3 6-4,3,R32,119,9,5,97,54,35,21,14,4,8,2,3,84,55,36,14,13,4,8,11,1920,94,445
2002-301,Auckland,Hard,32,A,1/7/2002,2,102035,,,Jonas Bjorkman,R,183,SWE,29.7,103292,,,Gaston Gaudio,R,175,ARG,23,7-6(2) 6-1,3,R32,84,6,2,56,31,26,12,9,2,4,3,0,71,42,25,11,10,4,9,61,605,46,760
2002-301,Auckland,Hard,32,A,1/7/2002,3,102259,,,Jerome Golmard,L,188,FRA,28.3,102557,,WC,Daniel Willman,U,,NZL,26.8,6-4 6-1,3,R32,54,6,3,41,22,19,11,8,0,1,2,4,58,37,19,9,9,6,11,49,722,362,82
2002-301,Auckland,Hard,32,A,1/7/2002,4,103153,,Q,Gilles Elseneer,R,188,BEL,23.8,103103,8,,Dominik Hrbaty,R,183,SVK,24,3-6 6-1 6-2,3,R32,81,9,5,65,38,33,14,12,1,2,1,6,83,47,29,20,12,6,10,205,182,37,1005
2002-301,Auckland,Hard,32,A,1/7/2002,5,101532,,,Francisco Clavet,L,183,ESP,33.2,102998,3,,Jan Michael Gambill,R,190,USA,24.5,6-0 7-6(3),3,R32,83,1,3,61,45,32,7,9,0,2,7,1,66,40,23,8,9,6,11,50,715,21,1215
2002-301,Auckland,Hard,32,A,1/7/2002,6,103900,,,David Nalbandian,R,180,ARG,20,103451,,Q,Bjorn Phau,R,175,GER,22.2,6-4 4-6 6-3,3,R32,104,5,4,81,54,38,14,15,2,5,6,2,88,49,37,18,14,2,6,45,795,201,186
2002-301,Auckland,Hard,32,A,1/7/2002,7,103356,,,Michel Kratochvil,R,185,SUI,22.7,104068,,Q,Robby Ginepri,R,183,USA,19.2,6-3 6-2,3,R32,68,1,1,67,47,31,10,9,6,7,5,6,62,36,20,10,8,6,10,44,836,176,212
2002-301,Auckland,Hard,32,A,1/7/2002,8,103066,,WC,Mark Nielsen,R,185,NZL,24.2,103714,7,,Andreas Vinciguerra,L,180,SWE,20.8,7-6(5) 6-4,3,R32,88,4,3,62,40,38,14,11,0,0,3,1,79,50,36,18,11,9,10,458,54,33,1025
2002-301,Auckland,Hard,32,A,1/7/2002,9,102562,5,,Jiri Novak,R,190,CZE,26.7,102247,,,Andrea Gaudenzi,R,183,ITA,28.4,7-5 6-3,3,R32,77,5,2,75,52,38,15,11,5,5,3,7,60,33,25,13,10,3,5,28,1146,52,701
2002-301,Auckland,Hard,32,A,1/7/2002,10,102950,,,Fernando Vicente,R,180,ESP,24.8,102644,,,Franco Squillari,L,183,ARG,26.3,6-3 6-2,3,R32,64,1,0,54,37,27,9,8,0,0,3,4,59,34,21,9,9,4,8,51,715,55,690
2002-301,Auckland,Hard,32,A,1/7/2002,11,102456,,,Felix Mantilla,R,180,ESP,27.2,102905,,,Stefan Koubek,L,175,AUT,25,7-6(5) 6-2,3,R32,77,1,1,57,33,23,16,10,1,3,7,5,71,53,32,5,10,5,9,36,1010,64,598
2002-301,Auckland,Hard,32,A,1/7/2002,12,102854,4,,Sjeng Schalken,R,193,NED,25.3,102869,,,Galo Blanco,R,173,ESP,25.2,6-2 3-6 6-3,3,R32,107,2,3,77,52,39,13,13,6,8,5,5,78,33,22,23,13,5,9,29,1140,56,687
2002-301,Auckland,Hard,32,A,1/7/2002,13,102257,6,,Greg Rusedski,L,193,GBR,28.3,103151,,,Mariano Zabaleta,R,183,ARG,23.8,6-4 3-6 6-1,3,R32,111,15,4,74,47,35,15,13,2,4,2,8,95,44,27,28,13,10,14,30,1075,58,614
2002-301,Auckland,Hard,32,A,1/7/2002,14,103420,,,Michal Tabara,R,175,CZE,22.4,102987,,Q,Andre Sa,R,185,BRA,24.6,7-5 6-2,3,R32,77,3,2,67,28,19,24,10,7,8,5,1,61,35,22,12,10,6,10,99,421,89,464
2002-301,Auckland,Hard,32,A,1/7/2002,15,104022,,,Mikhail Youzhny,R,183,RUS,19.5,103656,,,Albert Montanes,R,175,ESP,21.1,4-6 7-6(2) 6-1,3,R32,118,6,4,101,56,42,23,15,1,3,2,5,104,66,47,18,15,9,12,60,606,62,601
2002-301,Auckland,Hard,32,A,1/7/2002,16,101964,2,,Goran Ivanisevic,L,193,CRO,30.3,103813,,,Jarkko Nieminen,L,185,FIN,20.4,7-6(5) 6-3,3,R32,63,18,2,55,32,30,16,10,0,0,3,4,70,47,35,11,11,4,6,12,1781,59,607
2002-301,Auckland,Hard,32,A,1/7/2002,17,102035,,,Jonas Bjorkman,R,183,SWE,29.7,103498,1,,Marat Safin,R,193,RUS,21.9,6-3 4-6 6-3,3,R16,180,10,3,90,49,37,23,14,2,3,7,5,94,49,35,22,14,13,16,61,605,11,1920
2002-301,Auckland,Hard,32,A,1/7/2002,18,102259,,,Jerome Golmard,L,188,FRA,28.3,103153,,Q,Gilles Elseneer,R,188,BEL,23.8,7-6(5) 6-2,3,R16,87,5,1,63,43,31,14,10,2,2,4,4,76,43,30,16,10,6,8,49,722,205,182
2002-301,Auckland,Hard,32,A,1/7/2002,19,103900,,,David Nalbandian,R,180,ARG,20,101532,,,Francisco Clavet,L,183,ESP,33.2,6-3 6-3,3,R16,75,2,2,51,31,24,9,9,0,1,2,2,64,46,29,5,9,3,7,45,795,50,715
2002-301,Auckland,Hard,32,A,1/7/2002,20,103356,,,Michel Kratochvil,R,185,SUI,22.7,103066,,WC,Mark Nielsen,R,185,NZL,24.2,6-3 6-2,3,R16,66,8,2,45,26,20,10,9,0,2,4,3,46,27,14,7,8,4,9,44,836,458,54
2002-301,Auckland,Hard,32,A,1/7/2002,21,102562,5,,Jiri Novak,R,190,CZE,26.7,102950,,,Fernando Vicente,R,180,ESP,24.8,6-3 6-3,3,R16,63,3,3,68,47,37,9,9,9,9,1,2,58,32,24,10,9,5,8,28,1146,51,715
2002-301,Auckland,Hard,32,A,1/7/2002,22,102456,,,Felix Mantilla,R,180,ESP,27.2,102854,4,,Sjeng Schalken,R,193,NED,25.3,6-4 6-4,3,R16,95,2,1,67,32,24,20,10,1,2,5,1,65,36,25,13,10,5,8,36,1010,29,1140
2002-301,Auckland,Hard,32,A,1/7/2002,23,102257,6,,Greg Rusedski,L,193,GBR,28.3,103420,,,Michal Tabara,R,175,CZE,22.4,5-7 7-5 6-4,3,R16,115,11,6,95,55,44,20,17,1,4,1,8,110,41,26,40,17,3,7,30,1075,99,421
2002-301,Auckland,Hard,32,A,1/7/2002,24,101964,2,,Goran Ivanisevic,L,193,CRO,30.3,104022,,,Mikhail Youzhny,R,183,RUS,19.5,4-6 6-3 6-3,3,R16,100,14,9,84,40,34,24,14,4,5,4,2,93,64,41,16,14,8,11,12,1781,60,606
2002-301,Auckland,Hard,32,A,1/7/2002,25,102259,,,Jerome Golmard,L,188,FRA,28.3,102035,,,Jonas Bjorkman,R,183,SWE,29.7,6-3 6-4,3,QF,81,5,3,60,38,31,13,10,4,4,6,3,60,35,25,12,9,3,5,49,722,61,605
2002-301,Auckland,Hard,32,A,1/7/2002,26,103356,,,Michel Kratochvil,R,185,SUI,22.7,103900,,,David Nalbandian,R,180,ARG,20,2-6 6-1 7-5,3,QF,109,4,1,83,51,37,16,14,3,6,1,4,75,46,30,16,13,5,9,44,836,45,795
2002-301,Auckland,Hard,32,A,1/7/2002,27,102562,5,,Jiri Novak,R,190,CZE,26.7,102456,,,Felix Mantilla,R,180,ESP,27.2,6-1 6-1,3,QF,55,5,0,47,30,20,9,7,4,5,0,6,48,23,11,5,7,5,11,28,1146,36,1010
2002-301,Auckland,Hard,32,A,1/7/2002,28,102257,6,,Greg Rusedski,L,193,GBR,28.3,101964,2,,Goran Ivanisevic,L,193,CRO,30.3,6-2 0-6 6-3,3,QF,82,10,5,61,27,21,16,11,5,9,5,8,82,36,27,17,12,6,11,30,1075,12,1781
2002-301,Auckland,Hard,32,A,1/7/2002,29,102259,,,Jerome Golmard,L,188,FRA,28.3,103356,,,Michel Kratochvil,R,185,SUI,22.7,6-2 6-2,3,SF,70,2,2,52,41,29,5,8,6,7,1,1,49,32,20,1,8,4,9,49,722,44,836
2002-301,Auckland,Hard,32,A,1/7/2002,30,102257,6,,Greg Rusedski,L,193,GBR,28.3,102562,5,,Jiri Novak,R,190,CZE,26.7,6-7(6) 6-4 7-6(2),3,SF,114,7,4,99,58,54,22,17,0,0,6,0,108,71,47,31,17,4,5,30,1075,28,1146
2002-301,Auckland,Hard,32,A,1/7/2002,31,102257,6,,Greg Rusedski,L,193,GBR,28.3,102259,,,Jerome Golmard,L,188,FRA,28.3,6-7(0) 6-4 7-5,3,F,127,12,4,102,57,45,26,17,2,3,4,1,105,77,55,15,17,1,4,30,1075,49,722
2002-306,St. Poelten,Clay,32,A,5/20/2002,1,103581,,LL,Flavio Saretta,R,183,BRA,21.8,102887,,,Ramon Delgado,R,185,PAR,25.5,6-2 6-2,3,R32,,6,2,65,46,31,11,8,7,7,3,4,64,43,25,7,8,6,10,85,462,84,463
2002-306,St. Poelten,Clay,32,A,5/20/2002,2,102179,,,Antony Dupuis,R,185,FRA,29.2,104417,,Q,Robin Soderling,R,193,SWE,17.7,6-2 6-3,3,R32,63,8,1,56,40,29,9,8,3,3,3,5,56,33,23,7,9,2,6,82,471,299,102
2002-306,St. Poelten,Clay,32,A,5/20/2002,3,103182,,,Markus Hipfl,R,178,AUT,24,104325,,WC,Johannes Ager,R,196,AUT,18.1,6-2 6-2,3,R32,67,6,1,51,38,28,7,8,5,6,2,5,57,33,18,8,8,6,11,72,521,948,7
2002-306,St. Poelten,Clay,32,A,5/20/2002,4,102905,5,,Stefan Koubek,L,175,AUT,25.3,103184,,Q,Bob Bryan,L,193,USA,24,6-3 7-5,3,R32,89,5,5,79,39,26,20,11,7,10,1,3,66,42,23,12,10,6,11,39,850,195,195
2002-306,St. Poelten,Clay,32,A,5/20/2002,5,102950,,,Fernando Vicente,R,180,ESP,25.1,102287,3,,Albert Portas,R,188,ESP,28.5,6-2 3-0 RET,3,R32,55,2,1,38,19,14,12,5,2,2,0,3,44,32,15,5,6,4,8,71,535,76,500
2002-306,St. Poelten,Clay,32,A,5/20/2002,6,102369,,,Julien Boutter,R,190,FRA,28.1,103151,,,Mariano Zabaleta,R,183,ARG,24.2,7-5 6-4,3,R32,81,9,1,60,32,28,14,11,1,2,2,3,65,38,25,15,11,4,7,46,790,52,730
2002-306,St. Poelten,Clay,32,A,5/20/2002,7,102722,,,Attila Savolt,R,183,HUN,26.2,103387,,,Paradorn Srichaphan,R,185,THA,22.9,6-2 6-3,3,R32,72,5,2,55,30,23,12,8,3,4,0,4,44,22,14,7,9,1,6,68,569,67,578
2002-306,St. Poelten,Clay,32,A,5/20/2002,8,103656,6,,Albert Montanes,R,175,ESP,21.4,102382,,WC,Julian Knowle,L,188,AUT,28,7-6(7) 7-6(5),3,R32,117,8,2,76,53,40,14,12,2,3,3,5,91,54,42,18,12,5,6,58,691,94,391
2002-306,St. Poelten,Clay,32,A,5/20/2002,9,103103,8,,Dominik Hrbaty,R,183,SVK,24.3,103786,,,Nikolay Davydenko,R,178,RUS,20.9,2-6 6-4 6-4,3,R32,113,3,5,82,47,32,18,14,4,8,5,6,89,40,25,27,14,4,8,56,703,79,482
2002-306,St. Poelten,Clay,32,A,5/20/2002,10,103176,,,David Sanchez,R,183,ESP,24,102434,,Q,Vincent Spadea,R,183,USA,27.8,6-4 6-0,3,R32,61,2,0,47,30,22,12,8,0,0,2,3,52,34,18,9,8,6,10,65,593,88,448
2002-306,St. Poelten,Clay,32,A,5/20/2002,11,103694,,,Olivier Rochus,R,168,BEL,21.3,103188,,Q,Michael Russell,R,173,USA,24,6-4 6-2,3,R32,59,1,1,52,29,17,13,9,1,4,0,0,53,40,19,6,9,2,8,66,583,105,359
2002-306,St. Poelten,Clay,32,A,5/20/2002,12,102998,4,,Jan Michael Gambill,R,190,USA,24.9,102788,,,Jan Vacek,R,198,CZE,26,6-3 3-6 6-3,3,R32,97,8,1,82,46,37,18,14,3,5,8,4,77,42,32,17,13,6,9,53,730,81,472
2002-306,St. Poelten,Clay,32,A,5/20/2002,13,102247,7,,Andrea Gaudenzi,R,183,ITA,28.8,103294,,,Christophe Rochus,R,170,BEL,23.4,7-6(3) 6-1,3,R32,89,5,5,62,31,23,14,10,1,4,0,7,62,23,15,13,9,5,10,54,724,77,498
2002-306,St. Poelten,Clay,32,A,5/20/2002,14,103781,,WC,Jurgen Melzer,L,183,AUT,20.9,102227,,,Sargis Sargsian,R,180,ARM,28.9,6-0 6-2,3,R32,61,1,2,36,14,11,17,7,0,0,1,5,66,36,15,15,7,4,9,138,287,69,561
2002-306,St. Poelten,Clay,32,A,5/20/2002,15,103789,,,Irakli Labadze,L,188,GEO,20.9,103709,,,Kristian Pless,R,188,DEN,21.2,6-4 6-4,3,R32,64,3,3,60,42,33,7,10,2,3,3,0,52,40,26,5,10,1,4,89,445,70,550
2002-306,St. Poelten,Clay,32,A,5/20/2002,16,102839,2,,Nicolas Lapentti,R,188,ECU,25.7,102344,,,Karol Kucera,R,188,SVK,28.2,6-3 2-6 6-0,3,R32,125,2,0,70,42,29,15,12,1,4,0,7,84,41,25,18,11,8,13,31,1090,73,517
